item_id,item_name,baris_selisih,harga_large_item_prices,medium_conversion_qty,small_conversion_qty,pricing_mode,unit_fo,harga_fo_saat_ini,harga_seharusnya
52353,"Cokelat Powder",6,246500,1,1000,auto,"Kilogram (medium) x6","246.400 (x6)","246.500 (x6)"
52461,"Chocolate Compound",5,84100,1,1000,auto,"Pack (medium) x5","84.000 (x5)","84.100 (x5)"
52393,"Marjan Vanilla",5,25300,1,460,auto,"Botol (medium) x5","25.200 (x5)","25.300 (x5)"
52556,"Mineral Water FC",5,44900,1,24,auto,"Karton (medium) x5","44.800 (x5)","44.900 (x5)"
52399,"Syrup Mint",5,123300,1,1000,auto,"Botol (medium) x5","123.200 (x5)","123.300 (x5)"
52337,"Black Pepper",4,201700,1,1000,auto,"Kilogram (medium) x4","201.600 (x4)","201.700 (x4)"
52405,Nutmeg,4,224100,1,1000,auto,"Kilogram (medium) x4","224.000 (x4)","224.100 (x4)"
52502,"Sea Salt Baby Pyramid",4,26700,1,45,auto,"Pack (medium) x4","26.600 (x4)","26.700 (x4)"
52796,"Sedotan Bubble",4,56100,1,500,auto,"Pack (medium) x4","56.000 (x4)","56.100 (x4)"
52331,"Bawang Goreng",3,61700,1,500,auto,"Pack (medium) x3","61.600 (x3)","61.700 (x3)"
52555,"Gula Putih Sachet SH",3,73400,1,250,auto,"Pack (medium) x3","93.300 (x3)","73.400 (x3)"
54731,"Smoked Chicken",3,21792,2,1,manual,"Pack (small) x3","21.800 (x3)","10.900 (x3)"
52436,Sunquick,3,168100,1,2000,auto,"Botol (medium) x3","168.000 (x3)","168.100 (x3)"
52674,"Kecap Manis Noni",2,30900,1,600,auto,"Botol (medium) x2","30.800 (x2)","30.900 (x2)"
52654,"Merica Halus",2,112100,1,1000,auto,"Kilogram (medium) x2","112.000 (x2)","112.100 (x2)"
52407,Oregano,2,257700,1,1000,auto,"Kilogram (medium) x2","257.600 (x2)","257.700 (x2)"
