no,item_name,item_id,item_name_db,sku,pricing_mode,availability_price_type,region_id,outlet_id,item_prices_price,suggested_sell_gr_plus_12,cost_large_last,gr_number,gr_receive_date,po_number,po_price,po_unit,price_reason,is_picked_by_resolver
17,"Gas Whipped",52364,"Gas Whipped",GC-20250620-3158,auto,all,,,85800.00,85800.00,76570.00,GR-20260708-0034,2026-07-08,POF26070306,76570.00,Pack,"Auto GR+12% — HPP large Rp 76.570 dari GR-20260708-0034 (2026-07-08); referensi PO POF26070306 harga beli Rp 76.570/Pack",yes
18,Gerkin,52365,Gerkin,GC-20250620-4081,auto,all,,,34900.00,34900.00,31080.00,GR-20260707-0034,2026-07-07,POF26070101,31080.00,Botol,"Auto GR+12% — HPP large Rp 31.080 dari GR-20260707-0034 (2026-07-07); referensi PO POF26070101 harga beli Rp 31.080/Botol",yes
19,Guacamole,52660,Guacamole,GC-20250719-4687,auto,all,,,70900.00,70900.00,63296.00,GR-20260706-0052,2026-07-06,POF26070285,63296.00,Botol,"Auto GR+12% — HPP large Rp 63.296 dari GR-20260706-0052 (2026-07-06); referensi PO POF26070285 harga beli Rp 63.296/Botol",yes
20,"Gula Pasir",52371,"Gula Pasir",GC-20250620-6840,auto,all,,,20400.00,20400.00,18200.00,GR-20260705-0001,2026-07-05,POF26070218,18200.00,Kilogram,"Auto GR+12% — HPP large Rp 18.200 dari GR-20260705-0001 (2026-07-05); referensi PO POF26070218 harga beli Rp 18.200/Kilogram",yes
21,"Gula Putih Sachet SH",52555,"Gula Putih Sachet SH",GC-20250620-4436,auto,all,,,73400.00,73400.00,65500.00,GR-20260708-0044,2026-07-08,POF26070338,65500.00,Pack,"Auto GR+12% — HPP large Rp 65.500 dari GR-20260708-0044 (2026-07-08); referensi PO POF26070338 harga beli Rp 65.500/Pack",yes
22,"Kecap Asin Angsa",52525,"Kecap Asin Angsa",GC-20250625-1654,auto,all,,,28100.00,28100.00,25000.00,GR-20260705-0001,2026-07-05,POF26070218,25000.00,Botol,"Auto GR+12% — HPP large Rp 25.000 dari GR-20260705-0001 (2026-07-05); referensi PO POF26070218 harga beli Rp 25.000/Botol",yes
23,"Kecap Manis",52383,"Kecap Manis",GC-20250620-6331,auto,all,,,25800.00,25800.00,23000.00,GR-20260705-0001,2026-07-05,POF26070218,23000.00,Pack,"Auto GR+12% — HPP large Rp 23.000 dari GR-20260705-0001 (2026-07-05); referensi PO POF26070218 harga beli Rp 23.000/Pack",yes
24,"Kerupuk Emping",52384,"Kerupuk Emping",GC-20260402-3048,auto,all,,,98600.00,98600.00,88000.00,GR-20260706-0020,2026-07-06,POF26070213,88000.00,Kilogram,"Auto GR+12% — HPP large Rp 88.000 dari GR-20260706-0020 (2026-07-06); referensi PO POF26070213 harga beli Rp 88.000/Kilogram",yes
25,Madu,52388,Madu,GC-20260319-2016,auto,all,,,121000.00,121000.00,108000.00,GR-20260702-0013,2026-07-02,POF26070022,108000.00,Botol,"Auto GR+12% — HPP large Rp 108.000 dari GR-20260702-0013 (2026-07-02); referensi PO POF26070022 harga beli Rp 108.000/Botol",yes
26,"Marjan Lychee",52390,"Marjan Lychee",GC-20250620-5127,auto,all,,,25300.00,25300.00,22500.00,GR-20260705-0001,2026-07-05,POF26070218,22500.00,Botol,"Auto GR+12% — HPP large Rp 22.500 dari GR-20260705-0001 (2026-07-05); referensi PO POF26070218 harga beli Rp 22.500/Botol",yes
27,"Marjan Strawberry",52392,"Marjan Strawberry",GC-20250620-4643,auto,all,,,25300.00,25300.00,22500.00,GR-20260705-0001,2026-07-05,POF26070218,22500.00,Botol,"Auto GR+12% — HPP large Rp 22.500 dari GR-20260705-0001 (2026-07-05); referensi PO POF26070218 harga beli Rp 22.500/Botol",yes
28,"Marjan Vanilla",52393,"Marjan Vanilla",GC-20250620-2030,auto,all,,,25300.00,25300.00,22500.00,GR-20260705-0001,2026-07-05,POF26070218,22500.00,Botol,"Auto GR+12% — HPP large Rp 22.500 dari GR-20260705-0001 (2026-07-05); referensi PO POF26070218 harga beli Rp 22.500/Botol",yes
29,Mayonaise,52394,Mayonaise,GC-20260413-3504,auto,all,,,225300.00,225300.00,201100.00,GR-20260706-0019,2026-07-06,POF26070177,201100.00,Pail,"Auto GR+12% — HPP large Rp 201.100 dari GR-20260706-0019 (2026-07-06); referensi PO POF26070177 harga beli Rp 201.100/Pail",yes
30,"Milk Evaporate",52483,"Milk Evaporate",GC-20250620-7201,auto,all,,,21300.00,21300.00,19000.00,GR-20260702-0035,2026-07-02,POF26070060,19000.00,Can,"Auto GR+12% — HPP large Rp 19.000 dari GR-20260702-0035 (2026-07-02); referensi PO POF26070060 harga beli Rp 19.000/Can",yes
31,"Minyak Klentik",52607,"Minyak Klentik",GC-20250729-7377,auto,all,,,59400.00,59400.00,53000.00,GR-20260701-0046,2026-07-01,POF26061358,53000.00,Botol,"Auto GR+12% — HPP large Rp 53.000 dari GR-20260701-0046 (2026-07-01); referensi PO POF26061358 harga beli Rp 53.000/Botol",yes
32,"Nestea Powder",52404,"Nestea Powder",GC-20250620-8456,auto,all,,,72000.00,72000.00,64200.00,GR-20260708-0040,2026-07-08,POF26070300,64200.00,Pack,"Auto GR+12% — HPP large Rp 64.200 dari GR-20260708-0040 (2026-07-08); referensi PO POF26070300 harga beli Rp 64.200/Pack",yes
33,"Olive Oil 500Mili liter",52664,"Olive Oil 500Mili liter",GC-20260213-9753,auto,all,,,143400.00,143400.00,128000.00,GR-20260701-0061,2026-07-01,POF26061353,128000.00,Botol,"Auto GR+12% — HPP large Rp 128.000 dari GR-20260701-0061 (2026-07-01); referensi PO POF26061353 harga beli Rp 128.000/Botol",yes
34,"Oyster Sauce",52408,"Oyster Sauce",GC-20250620-2542,auto,all,,,123300.00,123300.00,110000.00,GR-20260705-0001,2026-07-05,POF26070218,110000.00,Can,"Auto GR+12% — HPP large Rp 110.000 dari GR-20260705-0001 (2026-07-05); referensi PO POF26070218 harga beli Rp 110.000/Can",yes
