item_id,item_name,baris_selisih,harga_large_item_prices,medium_conversion_qty,small_conversion_qty,pricing_mode,unit_fo,harga_fo_saat_ini,harga_seharusnya
54715,"Beef Crispy Belly",8,155405,5,600,manual,"Pack (medium) x8","155.500 (x8)","31.100 (x8)"
54714,"Beef Sei",8,129619,3,1500,manual,"Pack (medium) x8","129.700 (x8)","43.300 (x8)"
52381,"Kecap Asin",8,20200,1,620,auto,"Botol (medium) x8","22.400 (x4); 24.700 (x4)","20.200 (x8)"
52398,"Mineral Water SH",8,106500,1,24,auto,"Karton (medium) x8","106.400 (x8)","106.500 (x8)"
52432,"SKM Putih",8,14100,1,260,auto,"Can (medium) x8","14.000 (x8)","14.100 (x8)"
54717,"Chicken Sei",7,39413,8,4000,manual,"Pack (medium) x7","39.500 (x7)","5.000 (x7)"
52555,"Gula Putih Sachet SH",7,73400,1,250,auto,"Pack (medium) x7","93.300 (x7)","73.400 (x7)"
54789,"HVS 1 Ply 75x65",7,44900,1,10,auto,"Pack (medium) x7","44.800 (x7)","44.900 (x7)"
52345,"Chilli Flake",6,156900,1,1000,auto,"Kilogram (medium) x6","156.800 (x6)","156.900 (x6)"
52353,"Cokelat Powder",6,246500,1,1000,auto,"Kilogram (medium) x6","246.400 (x6)","246.500 (x6)"
52461,"Chocolate Compound",5,84100,1,1000,auto,"Pack (medium) x5","84.000 (x5)","84.100 (x5)"
52393,"Marjan Vanilla",5,25300,1,460,auto,"Botol (medium) x5","25.200 (x5)","25.300 (x5)"
52556,"Mineral Water FC",5,44900,1,24,auto,"Karton (medium) x5","44.800 (x5)","44.900 (x5)"
52502,"Sea Salt Baby Pyramid",5,26700,1,45,auto,"Pack (medium) x5","26.600 (x4); 24.700 (x1)","26.700 (x5)"
52399,"Syrup Mint",5,123300,1,1000,auto,"Botol (medium) x5","123.200 (x5)","123.300 (x5)"
52816,"Tissue Luncheon",5,3250,1,50,manual,"Pack (medium) x5","32.500 (x5)","3.300 (x5)"
52337,"Black Pepper",4,201700,1,1000,auto,"Kilogram (medium) x4","201.600 (x4)","201.700 (x4)"
52405,Nutmeg,4,224100,1,1000,auto,"Kilogram (medium) x4","224.000 (x4)","224.100 (x4)"
52796,"Sedotan Bubble",4,56100,1,500,auto,"Pack (medium) x4","56.000 (x4)","56.100 (x4)"
52331,"Bawang Goreng",3,61700,1,500,auto,"Pack (medium) x3","61.600 (x3)","61.700 (x3)"
52436,Sunquick,3,168100,1,2000,auto,"Botol (medium) x3","168.000 (x3)","168.100 (x3)"
52485,"Bunga Telang",2,9300,1,20,auto,"Pack (medium) x2","11.900 (x2)","9.300 (x2)"
52674,"Kecap Manis Noni",2,30900,1,600,auto,"Botol (medium) x2","30.800 (x2)","30.900 (x2)"
52654,"Merica Halus",2,112100,1,1000,auto,"Kilogram (medium) x2","112.000 (x2)","112.100 (x2)"
52407,Oregano,2,257700,1,1000,auto,"Kilogram (medium) x2","257.600 (x2)","257.700 (x2)"
52449,Terasi,2,8500,1,84,auto,"Pack (medium) x2","8.400 (x2)","8.500 (x2)"
53230,"Thousand Island",2,46620,4,1000,manual,"Kilogram (medium) x2","46.700 (x2)","11.700 (x2)"
52335,"Biji Wijen",1,39300,1,1000,auto,"Kilogram (medium) x1","39.200 (x1)","39.300 (x1)"
52591,"Boba Mangga",1,100900,1,1000,auto,"Kilogram (medium) x1","100.800 (x1)","100.900 (x1)"
52670,"Boba Strawberry",1,100900,1,1000,auto,"Pack (medium) x1","100.800 (x1)","100.900 (x1)"
52369,"Gula Merah",1,28100,1,1000,auto,"Kilogram (medium) x1","28.000 (x1)","28.100 (x1)"
52656,"Ketumbar Bubuk",1,112100,1,1000,auto,"Kilogram (medium) x1","112.000 (x1)","112.100 (x1)"
54677,"Orange Sauce",1,25877,14,300,manual,"Pack (medium) x1","25.900 (x1)","1.900 (x1)"
52408,"Oyster Sauce",1,123300,1,2200,auto,"Can (medium) x1","123.200 (x1)","123.300 (x1)"
55465,"Placemate Kids Pink",1,240900,1,500,auto,"Pack (medium) x1","240.800 (x1)","240.900 (x1)"
52828,"Plastik Roll Buah 30x45",1,100900,1,1,auto,"Kilogram (small) x1","100.800 (x1)","100.900 (x1)"
52853,"Sticker Doppio",1,13440,1,10,manual,"Pcs (small) x1","13.500 (x1)","1.400 (x1)"
52464,"Syrup Peach",1,123300,1,1000,auto,"Botol (medium) x1","123.200 (x1)","123.300 (x1)"
52821,"Wrapping Burger",1,44900,1,100,auto,"Pack (medium) x1","44.800 (x1)","44.900 (x1)"
