no,item_name,item_id,sku,outlet,warehouse,period_from,period_to,report_unit,report_qty,fo_price_stored,cost_implied_fo_div_112,matched_gr_number,matched_gr_date,matched_po_number,matched_po_price,matched_po_unit,matched_hpp_large,matched_sell_large,fo_tanggal_ref,match_method,price_reason
17,"Gas Whipped",52364,GC-20250620-3158,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,2.000,85800.00,76607.14,GR-20260602-0062,2026-06-02,POF26051457,76570.00,Pack,76570.00,85800.00,2026-06-07,sell_line≈fo_stored,"FO simpan Rp 85.800 = jual +12% dari GR GR-20260602-0062 (2026-06-02), PO POF26051457, beli Rp 76.570/Pack (HPP Rp 76.570). Angka ~76.607 di laporan = FO÷1,12."
18,Gerkin,52365,GC-20250620-4081,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,5.000,34900.00,31160.71,GR-20260602-0054,2026-06-02,POF26051450,31080.00,Botol,31080.00,34900.00,2026-06-05,sell_line≈fo_stored,"FO simpan Rp 34.900 = jual +12% dari GR GR-20260602-0054 (2026-06-02), PO POF26051450, beli Rp 31.080/Botol (HPP Rp 31.080). Angka ~31.161 di laporan = FO÷1,12."
19,Guacamole,52660,GC-20250719-4687,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
20,"Gula Pasir",52371,GC-20250620-6840,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,8.000,20000.00,17857.14,GR-20251123-0006,2025-11-23,POF25110850,17500.00,Kilogram,17500.00,19700.00,2026-06-02,sell_line≈fo_stored,"FO simpan Rp 20.000 = jual +12% dari GR GR-20251123-0006 (2025-11-23), PO POF25110850, beli Rp 17.500/Kilogram (HPP Rp 17.500). Angka ~17.857 di laporan = FO÷1,12."
21,"Gula Putih Sachet SH",52555,GC-20250620-4436,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,2.000,73400.00,65535.71,GR-20251210-0029,2025-12-10,POF25120307,262.00,Pcs,65500.00,73400.00,2026-06-04,sell_line≈fo_stored,"FO simpan Rp 73.400 = jual +12% dari GR GR-20251210-0029 (2025-12-10), PO POF25120307, beli Rp 262/Pcs (HPP Rp 65.500). Angka ~65.536 di laporan = FO÷1,12."
22,"Kecap Asin Angsa",52525,GC-20250625-1654,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
23,"Kecap Manis",52383,GC-20250620-6331,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,3.000,25800.00,23035.71,GR-20260604-0024,2026-06-04,POF26060096,23000.00,Pack,23000.00,25800.00,2026-06-05,sell_line≈fo_stored,"FO simpan Rp 25.800 = jual +12% dari GR GR-20260604-0024 (2026-06-04), PO POF26060096, beli Rp 23.000/Pack (HPP Rp 23.000). Angka ~23.036 di laporan = FO÷1,12."
24,"Kerupuk Emping",52384,GC-20260402-3048,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,0.500,98600.00,88035.71,GR-20260529-0014,2026-05-29,POF26051289,88000.00,Kilogram,88000.00,98600.00,2026-06-01,sell_line≈fo_stored,"FO simpan Rp 98.600 = jual +12% dari GR GR-20260529-0014 (2026-05-29), PO POF26051289, beli Rp 88.000/Kilogram (HPP Rp 88.000). Angka ~88.036 di laporan = FO÷1,12."
25,Madu,52388,GC-20260319-2016,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,1.000,121000.00,108035.71,GR-20260522-0020,2026-05-22,POF26050906,108000.00,Botol,108000.00,121000.00,2026-06-02,sell_line≈fo_stored,"FO simpan Rp 121.000 = jual +12% dari GR GR-20260522-0020 (2026-05-22), PO POF26050906, beli Rp 108.000/Botol (HPP Rp 108.000). Angka ~108.036 di laporan = FO÷1,12."
26,"Marjan Lychee",52390,GC-20250620-5127,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,2.000,25300.00,22589.29,GR-20260604-0024,2026-06-04,POF26060096,22500.00,Botol,22500.00,25300.00,2026-06-04,sell_line≈fo_stored,"FO simpan Rp 25.300 = jual +12% dari GR GR-20260604-0024 (2026-06-04), PO POF26060096, beli Rp 22.500/Botol (HPP Rp 22.500). Angka ~22.589 di laporan = FO÷1,12."
27,"Marjan Strawberry",52392,GC-20250620-4643,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,,,,,,,,,,"Tidak ada data FO/GR outlet"
28,"Marjan Vanilla",52393,GC-20250620-2030,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,2.000,25300.00,22589.29,GR-20260607-0002,2026-06-07,POF26060254,22500.00,Botol,22500.00,25300.00,2026-06-07,sell_line≈fo_stored,"FO simpan Rp 25.300 = jual +12% dari GR GR-20260607-0002 (2026-06-07), PO POF26060254, beli Rp 22.500/Botol (HPP Rp 22.500). Angka ~22.589 di laporan = FO÷1,12."
29,Mayonaise,52394,GC-20260413-3504,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pail,3.000,225300.00,201160.71,GR-20260104-0020,2026-01-04,POF26010139,204500.00,Pail,204500.00,229100.00,2026-06-01,cost_line≈fo÷1.12,"FO simpan Rp 225.300 = jual +12% dari GR GR-20260104-0020 (2026-01-04), PO POF26010139, beli Rp 204.500/Pail (HPP Rp 204.500). Angka ~201.161 di laporan = FO÷1,12."
30,"Milk Evaporate",52483,GC-20250620-7201,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Can,2.000,21300.00,19017.86,,,,,,,,2026-06-04,not_found,"FO Rp 21.300 belum cocok ke GR pusat ≤ 2026-06-04"
