no,item_name,item_id,sku,outlet,warehouse,period_from,period_to,report_unit,report_qty,fo_price_stored,cost_implied_fo_div_112,matched_gr_number,matched_gr_date,matched_po_number,matched_po_price,matched_po_unit,matched_hpp_large,matched_sell_large,fo_tanggal_ref,match_method,price_reason
52,"Tabasco Sauce",52437,GC-20250620-3056,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,47100,GR-20260706-0022,2026-07-06,42000,,,,,,,,,,"Tidak ada transaksi GR outlet di periode"
53,"Teh Celup",52443,GC-20250620-6711,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,56700,GR-20260706-0022,2026-07-06,50550,,,,,,,,,,"Tidak ada transaksi GR outlet di periode"
54,"Tepung Easy Mix",52444,GC-20250620-8983,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,5.000,32000.00,28571.43,35300.00,GR-20260706-0024,2026-07-06,31500,GR-20260526-0033,2026-05-26,POF26051131,28500.00,Pack,28500.00,32000.00,2026-06-01,sell_line≈fo_price_stored,"FO tersimpan Rp 32.000 (bukan GR terbaru). Cocok GR GR-20260526-0033 (2026-05-26), PO POF26051131 beli Rp 28.500/Pack → HPP Rp 28.500 → jual +12% Rp 32.000. Angka ~28.571 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260706-0024 HPP Rp 31.500."
55,"Tepung Roti Kasar",52447,GC-20250620-8148,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,3.500,22200.00,19821.43,22200.00,GR-20260708-0031,2026-07-08,19800,GR-20260602-0064,2026-06-02,POF26051462,19800.00,Kilogram,19800.00,22200.00,2026-06-03,sell_line≈fo_price_stored,"FO tersimpan Rp 22.200 (bukan GR terbaru). Cocok GR GR-20260602-0064 (2026-06-02), PO POF26051462 beli Rp 19.800/Kilogram → HPP Rp 19.800 → jual +12% Rp 22.200. Angka ~19.821 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260708-0031 HPP Rp 19.800."
56,Thyme,52655,GC-20250620-8119,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Kilogram,0.100,268800.00,240000.00,268800.00,GR-20260701-0046,2026-07-01,240000,GR-20260530-0010,2026-05-30,POF26051474,240000.00,Kilogram,240000.00,268800.00,2026-06-01,sell_line≈fo_price_stored,"FO tersimpan Rp 268.800 (bukan GR terbaru). Cocok GR GR-20260530-0010 (2026-05-30), PO POF26051474 beli Rp 240.000/Kilogram → HPP Rp 240.000 → jual +12% Rp 268.800. Angka ~240.000 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260701-0046 HPP Rp 240.000."
57,"Tissue Dinner",52815,GC-20260626-9048,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,30.000,8900.00,7946.43,8900.00,GR-20260706-0001,2026-07-06,7882,GR-20260528-0001,2026-05-28,POF26051243,7882.00,Pack,7882.00,8900.00,2026-06-01,sell_line≈fo_price_stored,"FO tersimpan Rp 8.900 (bukan GR terbaru). Cocok GR GR-20260528-0001 (2026-05-28), PO POF26051243 beli Rp 7.882/Pack → HPP Rp 7.882 → jual +12% Rp 8.900. Angka ~7.946 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260706-0001 HPP Rp 7.882."
58,"Tissue Pop Up",52817,GC-20260415-5235,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,12.000,29600.00,26428.57,29600.00,GR-20260706-0038,2026-07-06,26383,GR-20260617-0045,2026-06-17,POF26060696,26383.00,Pack,26383.00,29600.00,2026-06-17,sell_line≈fo_price_stored,"FO tersimpan Rp 29.600 (bukan GR terbaru). Cocok GR GR-20260617-0045 (2026-06-17), PO POF26060696 beli Rp 26.383/Pack → HPP Rp 26.383 → jual +12% Rp 29.600. Angka ~26.429 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260706-0038 HPP Rp 26.383."
59,"Tissue Roll",52818,GC-20260501-8570,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,16200,GR-20260706-0038,2026-07-06,14451,,,,,,,,,,"Tidak ada transaksi GR outlet di periode"
60,"Tissue Towel",52819,GC-20260424-9116,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,168.000,6500.00,5803.57,6500.00,GR-20260707-0025,2026-07-07,5748,GR-20260617-0045,2026-06-17,POF26060696,5748.00,Pack,5748.00,6500.00,2026-06-17,sell_line≈fo_price_stored,"FO tersimpan Rp 6.500 (bukan GR terbaru). Cocok GR GR-20260617-0045 (2026-06-17), PO POF26060696 beli Rp 5.748/Pack → HPP Rp 5.748 → jual +12% Rp 6.500. Angka ~5.804 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260707-0025 HPP Rp 5.748."
61,"Truffle Oil",52458,GC-20260203-3626,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Botol,6.000,209900.00,187410.71,209900.00,GR-20260703-0005,2026-07-03,187404,GR-20260528-0055,2026-05-28,POF26051232,187404.00,Botol,187404.00,209900.00,2026-06-08,sell_line≈fo_price_stored,"FO tersimpan Rp 209.900 (bukan GR terbaru). Cocok GR GR-20260528-0055 (2026-05-28), PO POF26051232 beli Rp 187.404/Botol → HPP Rp 187.404 → jual +12% Rp 209.900. Angka ~187.411 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260703-0005 HPP Rp 187.404."
62,Dishwash,52717,GC-20250620-4999,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Galon,2.000,30300.00,27053.57,30300.00,GR-20260708-0018,2026-07-08,27000,GR-20260530-0014,2026-05-30,POF26051333,27000.00,Galon,27000.00,30300.00,2026-06-01,sell_line≈fo_price_stored,"FO tersimpan Rp 30.300 (bukan GR terbaru). Cocok GR GR-20260530-0014 (2026-05-30), PO POF26051333 beli Rp 27.000/Galon → HPP Rp 27.000 → jual +12% Rp 30.300. Angka ~27.054 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260708-0018 HPP Rp 27.000."
63,"General Cleaner",55709,GC-20260416-8411,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,124400,GR-20260708-0045,2026-07-08,111000,,,,,,,,,,"Tidak ada transaksi GR outlet di periode"
64,Hairnet,52736,GC-20250620-6280,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,2.000,44900.00,40089.29,44900.00,GR-20260708-0055,2026-07-08,40000,GR-20260521-0008,2026-05-21,POF26050884,40000.00,Pack,40000.00,44900.00,2026-06-01,sell_line≈fo_price_stored,"FO tersimpan Rp 44.900 (bukan GR terbaru). Cocok GR GR-20260521-0008 (2026-05-21), PO POF26050884 beli Rp 40.000/Pack → HPP Rp 40.000 → jual +12% Rp 44.900. Angka ~40.089 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260708-0055 HPP Rp 40.000."
65,"Hands Glove Rubber",52732,GC-20260515-4131,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,1.000,68400.00,61071.43,68400.00,GR-20260708-0042,2026-07-08,61000,,,,,,,,2026-06-01,sell_line≈fo_price_stored,"FO Rp 68.400; belum ketemu GR pusat yang cocok ≤ 2026-06-01. GR terbaru: GR-20260708-0042 (HPP Rp 61.000)."
66,"Masker 3 Ply",52733,GC-20250620-3579,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pack,4.000,29200.00,26071.43,29200.00,GR-20260701-0046,2026-07-01,26000,GR-20260530-0010,2026-05-30,POF26051474,26000.00,Pack,26000.00,29200.00,2026-06-05,sell_line≈fo_price_stored,"FO tersimpan Rp 29.200 (bukan GR terbaru). Cocok GR GR-20260530-0010 (2026-05-30), PO POF26051474 beli Rp 26.000/Pack → HPP Rp 26.000 → jual +12% Rp 29.200. Angka ~26.071 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260701-0046 HPP Rp 26.000."
67,"HVS 1 Ply 75x65",54789,GC-20260403-9291,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,,,,,44900,GR-20260706-0025,2026-07-06,40000,,,,,,,,,,"Tidak ada transaksi GR outlet di periode"
68,"Label Preparation Roll",55500,GC-20260212-6194,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Roll,1.000,168100.00,150089.29,168100.00,GR-20260701-0082,2026-07-01,150000,GR-20260603-0050,2026-06-03,POF26051479,150.00,Pcs,150000.00,168100.00,2026-06-03,sell_line≈fo_price_stored,"FO tersimpan Rp 168.100 (bukan GR terbaru). Cocok GR GR-20260603-0050 (2026-06-03), PO POF26051479 beli Rp 150/Pcs → HPP Rp 150.000 → jual +12% Rp 168.100. Angka ~150.089 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260701-0082 HPP Rp 150.000."
69,"Thermal Roll Steak house",52690,GC-20250620-5902,"Justus Steakhouse SMB","Main Store",2026-06-01,2026-06-30,Pcs,13.000,12700.00,11339.29,12700.00,GR-20260706-0025,2026-07-06,11300,GR-20260601-0023,2026-06-01,POF26051458,11300.00,Pcs,11300.00,12700.00,2026-06-02,sell_line≈fo_price_stored,"FO tersimpan Rp 12.700 (bukan GR terbaru). Cocok GR GR-20260601-0023 (2026-06-01), PO POF26051458 beli Rp 11.300/Pcs → HPP Rp 11.300 → jual +12% Rp 12.700. Angka ~11.339 di laporan = FO÷1,12 (HPP). GR terbaru sekarang: GR-20260706-0025 HPP Rp 11.300."
