line_id,item_id,item_name,tanggal,order_number,status,outlet,unit,unit_tier,qty,current_price,expected_price,diff,price_large,medium_conv,small_conv,pricing_mode
12483083,52711,Balon,2026-06-17,RO-20260617-5C2E,packing,"Justus Steak House Cipete",Pack,medium,4,168000,168100,-100,168100,1,100,auto
12175076,54667,"Barbeque Sauce",2026-06-12,RO-20260612-49D8,packing,"Justus Steak House Ciwalk",Pack,medium,2,29700,7500,22200,29638,4,500,manual
12171316,54667,"Barbeque Sauce",2026-06-12,RO-20260612-958F,packing,"Justus Steakhouse Ampera - Kemang",Pack,medium,16,29700,7500,22200,29638,4,500,manual
12165952,54667,"Barbeque Sauce",2026-06-12,RO-20260612-9E90,packing,"Justus Steak House Cipete",Pack,medium,16,29700,7500,22200,29638,4,500,manual
12170934,54667,"Barbeque Sauce",2026-06-12,RO-20260612-0DD8,packing,"Justus Steak House Cimanuk",Pack,medium,3,29700,7500,22200,29638,4,500,manual
12174862,54667,"Barbeque Sauce",2026-06-12,RO-20260612-0F70,packing,"Justus Steakhouse SMB",Pack,medium,15,29700,7500,22200,29638,4,500,manual
12508582,54667,"Barbeque Sauce",2026-06-17,RO-20260617-22B6,packing,"Justus Steak House Buah Batu",Pack,medium,6,29700,7500,22200,29638,4,500,manual
12497631,54667,"Barbeque Sauce",2026-06-17,RO-20260617-C7B1,packing,"Justus Steak House Paskal 23",Pack,medium,10,29700,7500,22200,29638,4,500,manual
12490412,54667,"Barbeque Sauce",2026-06-17,RO-20260617-2C87,packing,"Justus Steak House Festival Citylink",Pack,medium,2,29700,7500,22200,29638,4,500,manual
12511849,54667,"Barbeque Sauce",2026-06-17,RO-20260617-3F63,packing,"Justus Steak House Bintaro",Pack,medium,20,29700,7500,22200,29638,4,500,manual
12519669,54667,"Barbeque Sauce",2026-06-17,RO-20260618-59A7,packing,"Justus Steak House Alam Sutera",Pack,medium,12,29700,7500,22200,29638,4,500,manual
12490737,54667,"Barbeque Sauce",2026-06-17,RO-20260617-D694,packing,"JUSTUS BIP",Pack,medium,2,29700,7500,22200,29638,4,500,manual
